English,Romanian
Nepalese Rupee,Rupia nepaleză
Neth Antilles Guilder,Florin Antilele Olandeze
New Turkish Lira,Noua lira turcească
New Zealand Dollar,Dolar Noua Zeelandă
Nicaragua Cordoba,Nicaragua Cordoba
Nigerian Naira,Naira nigeriană
Norwegian Krone,Coroana norvegiană
Omani Rial,Oman Rial
Pacific Franc,Francul Pacificului
Pakistani Rupee,Rupia pakistaneză
Palladium Ounces,Uncii de paladiu
Panama Balboa,Panama Balboa
Papua New Guinea Kina,Papua Noua Guinee Kina
Paraguayan Guarani,Guarani paraguayani
Peruvian Nuevo Sol,Nuevo Sol peruvian
Philippine Peso,Peso filipinez
Platinum Ounces,Uncii de platină
Polish Zloty,Zlot polonez
Qatar Rial,Qatar Rial
Romanian Leu,Leu românesc
Romanian New Leu,Noul Leu românesc
Russian Rouble,Rubla rusească
Rwanda Franc,Francul ruandez
Samoa Tala,Samoa Tala
Sao Tome Dobra,Sao Tome Dobra
Saudi Arabian Riyal,Riyal saudit
Seychelles Rupee,Rupia Seychelles
Sierra Leone Leone,Sierra Leone Leone
Silver Ounces,Uncii de argint
Singapore Dollar,Dolarul din Singapore
Slovak Koruna,Coroană slovacă
Slovenian Tolar,Tolar sloven
Somali Shilling,Shilling somalez
South African Rand,Rand sud-african
Sri Lanka Rupee,Rupia Sri Lanka
St Helena Pound,Sfânta Helena Pound
Sudanese Dinar,Dinar sudanez
Surinam Guilder,Surinam Florin
Swaziland Lilageni,Swaziland Lilageni
Swedish Krona,Coroana suedeză
Swiss Franc,Franc elvetian
Syrian Pound,Lira Siriană
Taiwan Dollar,Dolar Taiwan
Tanzanian Shilling,Șilingul tanzanian
Thai Baht,Baht thailandez
Tonga Paanga,Tonga Paanga
Trinidad&Tobago Dollar,Dolar Trinidad și Tobago
Tunisian Dinar,Dinar tunisian
U.S. Dollar,Dolar american
UAE Dirham,Dirham din Emiratele Arabe Unite
Ugandan Shilling,Shilling ugandez
Ukraine Hryvnia,Ucraina Grivna
Uruguayan New Peso,Peso nou uruguayan
Vanuatu Vatu,Vanuatu Vatu
Venezuelan Bolivar,Bolivar venezuelean
Vietnam Dong,Vietnam Dong
Yemen Riyal,Yemen Riyal
Zambian Kwacha,Kwacha zambian
Zimbabwe Dollar,Dolarul Zimbabwe
Guyana Dollar,Dolarul Guyanei
Aruban florin,Florin Aruban
Armenian dram,Dram armean
Azerbaijani manat,Manat azer
Barbadian dollar,Dolar barbadian
Bosnian Convertible Marka,Marka bosniacă decapotabilă
Botswana pula,Pula Botswana
Cape Verdean escudo,Escudo capoverdian
Congolese franc,Franc congolez
Fijian Dollar,Dolarul fijian
CFP franc,Franc CFP
Georgian lari,Lari georgiene
Iraqi dinar,Dinar irakian
Kyrgyzstani som,Kyrgyzstani som
Liberian dollar,Dolar liberian
Malagasy ariary,Ariary malgache
Burmese Kyat,Kyat birmanez
North Korean won,Nord-coreean a câștigat
nuevo sol,nuevo sol
Serbian dinar,Dinar sârbesc
South Korean won,Coreea de Sud a câștigat
South Sudanese pound,Lira sudaneză de sud
Sudanese pound,Lira sudaneză
Surinamese dollar,Dolar surinamez
Tajikistani samani,Tajaniști samani
Turkish lira,Lira turcească
Turkmenistan manat,Turkmenistan manat
Pound sterling,Liră sterlină
Uzbekistani soʻm,Uzbekistani soʻm
Saint Helena pound,Sfânta Helena lira
Indian Rupees,Rupii indiene
CLI Pool,Piscină CLI
Download,Descarca
TRUE,ADEVĂRAT
FALSE,FALS
--Select Type--,- Selectați tipul--
One Time,O data
Recurring,Recurent
Recurring Monthly,Lunar recurent
Outbound,Outbound
Default,Mod implicit
Speed Dial Number Added Successfully,Numărul de apelare rapidă a fost adăugat cu succes
Are you sure want to confirm this invoice ? once you confirm it,Sigur doriți să confirmați această factură? odată confirmat
DIDs already purchased by someone.,DID-uri deja cumpărate de cineva.
DIDs Assigned sucessfully!,DID-uri alocate cu succes!
Something wrong.Please contact to administrator.,Ceva nu este în regulă. Vă rugăm să contactați administratorul.
Duplicate DID found from database,S-a găsit un duplicat DID din baza de date
Account have not sufficient amount to purchase this DID.,Contul nu are o sumă suficientă pentru a cumpăra acest DID.
Account not found or assign to invalid account,Contul nu a fost găsit sau atribuit unui cont nevalid
Duplicate DID found from import file.,S-a găsit un duplicat DID din fișierul de import.
DIDs Imported Successfully!,DID-urile au fost importate cu succes!
Insuffiecient fund to purchase this DID.,Fond insuficient pentru achiziționarea acestui DID.
Balance Below Notification,Sold sub notificare
Edit SIP Device,Editați dispozitivul SIP
Note : Page will display only receipts and confirmed invoices.,Notă: Pagina va afișa numai chitanțe și facturi confirmate.
Termination Rate Updated Successfully!,Rata de reziliere a fost actualizată cu succes!
Import Termination Rates Using Field Mapper,Importați tarifele de terminare utilizând Field Mapper
Edit Roles & Permissions,Editați rolurile și permisiunile
Create Roles & Permissions,Creați roluri și permisiuni
Edit Admin,Editați administratorul
Pin Updated Successfully!.,Pinul a fost actualizat cu succes !.
Create Termination Rate,Creați o rată de reziliere
Edit Company Profile,Editați profilul companiei
Website,Site-ul web
Generate Invoice for no usage,Generați factură fără utilizare
Commission Repots,Comisioane Repot
Top Up,Umple
Purchase DIDs,Cumpărați DID-uri
Package,Pachet
Setup,Înființat
DID Purchased Successfully.,Ați achiziționat cu succes.
release,eliberare
DID Batch Updated Successfully!,DID-ul a fost actualizat cu succes!
DID forwading set sucessfully!,A FĂCUT setul de vadă cu succes!
Are you sure want to release DID?,Sigur doriți să lansați DID?
Please select atleast one record,Vă rugăm să selectați cel puțin o înregistrare
Account Balance,Soldul contului
Next Bill Date,Data următoare a facturii
TOTAL AMOUNT,VALOARE TOTALĂ
Invoice,Factura fiscala
IP Address,Adresa IP
Terminate,Termină
Seconds,Secunde
Recording,Înregistrare
Rates,Tarife
Paid,Plătit
No Records,Fără înregistrări
Please select from date,Vă rugăm să selectați din data
Please select to date,Vă rugăm să selectați până în prezent
Please select to date bigger than from date,Vă rugăm să selectați data mai mare decât data
Confirm,A confirma
Edit Country,Editați țara
Skip Header,Salt antetul
Origination_rate_error,Eroare_ratare_originare
Termination_rate_error,Termination_rate_error
Termination_Rates,Rata de reziliere
Origination_Rates,Ratele_originare
refill_coupon,refill_coupon
Edit Reseller,Editați distribuitorul
Edit Calltype,Editați tipul de apel
updated successfully!,Actualizat cu succes!
added successfully!,adăugat cu succes!
Invoice generation completed .,Generarea facturilor finalizată.
NOTE,NOTĂ
No data found.,Nu s-au gasit date.
Added successfully!,Adăugat cu succes!
DID added successfully!,DID a fost adăugat cu succes!
DID updated successfully!,S-a actualizat cu succes!
File must be in the following format(.csv):,Fișierul trebuie să aibă următorul format (.csv):
Process,Proces
DID Import Error,Eroare de import DID
Records Imported Successfully,Înregistrări importate cu succes
Records Not Imported,Înregistrări neimportate
Back to DID List,Înapoi la lista DID
DID Batch Updated Successfully!,DID-ul a fost actualizat cu succes!
Accessnumber Added Successfully!,Număr de acces adăugat cu succes!
Process,Proces
Accessnumber Import Error,Eroare la importul numărului de acces
DIDs Assigned sucessfully!,DID-uri alocate cu succes!
Origination Rates Preview,Previzualizare rate de inițiere
Origination Rates Import Error,Eroare la importul ratelor de inițiere
Back to Origination Rates List,Înapoi la lista tarifelor de inițiere
Origination Rates Batch Updated Successfully!,Ratele de inițiere Lot actualizat cu succes!
Import Ratedeck Preview,Importați Previzualizarea Ratedeck
CALLTYPE,TIP DE APEL
Edit Calltype,Editați tipul de apel
Outbound-Proxy,Outbound-Proxy
Edit Trunk,Editați portbagajul
Termination Rate Added Successfully!,Rata de reziliere a fost adăugată cu succes!
Edit Termination Rate,Editați rata de reziliere
Termination Rates Import Error,Eroare la importul tarifelor de reziliere
Termination Rates Imported Successfully!,Tarifele de reziliere au fost importate cu succes!
Back to Origination Rates List,Înapoi la lista tarifelor de inițiere
Select,Selectați
pattern,model
comment,cometariu
connectcost,connectcost
includedseconds,secunde incluse
init_inc,init_inc
inc,inc
prepend,prepend
cost ,cost
strip,bandă
DID added successfully!,DID a fost adăugat cu succes!
DID updated successfully!,S-a actualizat cu succes!
Country Name,Numele tarii
PAID,PLĂTIT
PENDING,IN ASTEPTAREA
FAIL,EȘECE
ORDER,ORDIN
payment method,Modalitate de plată
Terminate Order,Terminați comanda
Compose Email,Scrie un email
Message,Mesaj
Send,Trimite
SIP Port is Required.,Portul SIP este necesar.
Start,start
SIP Port is Required.,Portul SIP este necesar.
SIP IP is Required.,SIP IP este obligatoriu.
Name is Required.,Numele este obligatoriu.
The SIP Port field is Required.,Câmpul Port SIP este obligatoriu.
The SIP Port field must contain only numbers.,Câmpul Port SIP trebuie să conțină numai numere.
The SIP Port field can not exceed 5 characters in length.,Câmpul Port SIP nu poate depăși 5 caractere.
Value is Required.,Este necesară o valoare.
Value,Valoare
Update Setting,Actualizați setarea
Add Setting,Adăugați setare
Edit Freeswitch Server,Editați serverul Freeswitch
CUT,A TĂIA
ADD,ADĂUGA
Edit Localization,Editați localizarea
Callbarring Settings Added Successfully!,Setările Callbarring au fost adăugate cu succes!
Edit Call Barring,Editați restricționarea apelurilor
Callbarring Settings Updated Successfully!,Setările Callbarring au fost actualizate cu succes!
The Name field is required.,Câmpul Nume este obligatoriu.
Please select file.,Vă rugăm să selectați fișierul.
Database import allows only gzfile types of file.,Importul bazei de date permite numai tipurile de fișiere gzfile.
File must be in (.gz) format :,Fișierul trebuie să fie în format (.gz):
The Coupon Number field must contain only numbers.,Câmpul Număr cupon trebuie să conțină numai numere.
The Coupon Number field have inactive refill coupon.,Câmpul Număr cupon are cupon de reumplere inactiv.
This Coupon Number is already in use.,Acest număr de cupon este deja utilizat.
This Coupon Number is not found.,Acest număr de cupon nu este găsit.
The Coupon Number field is required.,Câmpul Număr cupon este obligatoriu.
Select Customer.,Selectați Client.
Please enter your email,te rog introdu e-mailul tău
Please enter proper email,Vă rugăm să introduceți un e-mail corect
The Caller ID field is required.,Câmpul ID apelant este obligatoriu.
Please enter your password,Va rugam sa introduceti parola
Please enter your first name,Vă rugăm să introduceți prenumele
Please enter your email,te rog introdu e-mailul tău
This field is require,Acest câmp este obligatoriu
The IP field must contain a unique value.,Câmpul IP trebuie să conțină o valoare unică.
The Name field is required.,Câmpul Nume este obligatoriu.
The IP field is required.,Câmpul IP este obligatoriu.
Please Enter Valid Account Number,Vă rugăm să introduceți un număr de cont valid
Main,Principal
--Select Disposition--,--Selectați Dispoziție--
Group By #time,Grupați după # timp
Active User,Utilizator activ
Used Minutes,Minute uzate
Available Minutes,Minute disponibile
Total Price,Pretul total
Total User,Utilizator total
Resend Mail,Retrimiteți e-mailul
Restore,Restabili
View Details,Vezi detalii
Other,Alte
Edit Tax,Modificați taxa
Edit Country,Editați țara
Download Database,Descărcați baza de date
Import Database,Import Baza de date
File must be in (.gz) format,Fișierul trebuie să fie în format (.gz)
 Please select file., Vă rugăm să selectați fișierul.
Please enter name and select file.,Vă rugăm să introduceți numele și să selectați fișierul.
Edit Cron Settings,Editați setările Cron
Global Settings updated sucessfully!,Setările globale au fost actualizate cu succes!
Alert Notifications,Notificări de alertă
Fraud Configuration,Configurarea fraudelor
Configuration add,Configurare adăugare
Alarm Configuration,Configurare alarmă
Please select atleast one pattern.,Vă rugăm să selectați cel puțin un model.
Problem In Add Patterns to account.,Problemă în Adăugarea modelelor în cont.
Blocked Codes,Coduri blocate
The IP field must contain a unique value.,Câmpul IP trebuie să conțină o valoare unică.
The IP field is required.,Câmpul IP este obligatoriu.
Please Enter Switch command,Vă rugăm să introduceți comanda Switch
are you sure to delete?,sunteți sigur că ștergeți?
Are you sure want to confirm this invoice ? once you confirm it,Sigur doriți să confirmați această factură? odată confirmat
can not able to edit invoice again.,nu pot modifica din nou factura.
Maximum Logo upload size is 1MB,Dimensiunea maximă de încărcare a logo-ului este de 1 MB
Profit per day,Profit pe zi
Please enter number,Vă rugăm să introduceți numărul
Import Customer,Importați clientul
Processing,Prelucrare
please wait,te rog asteapta
U.S. Dollar (USD),Dolar SUA (USD)
Account Number,Numar de cont
Selected records has been deleted.,Înregistrările selectate au fost șterse.
Processing,Prelucrare
Invoice Due Date,Data scadentă a facturii
This month credits,Credite în această lună
Product & Services,Produs și servicii
Total Calls Amount,Suma totală a apelurilor
Total Amount (Inc. tax),Suma totală (impozit inc.)
Bill To,Proiect de lege pentru
Subtotal,Subtotal
Emails,E-mailuri
Add IP Settings,Adăugați setări IP
Edit IP Settings,Editați setările IP
Edit Caller ID,Editați ID-ul apelantului
Reseller Type,Tipul revânzătorului
Distributor,Distribuitor
Commission Based,Bazat pe Comisie
Invoice Date Interval,Intervalul datei facturii
Please select atleast one record to delete.,Vă rugăm să selectați cel puțin o înregistrare de șters.
Are you sure you want to delete? This action will delete all other data which belongs to this account(s).,Ești sigur că vrei să ștergi? Această acțiune va șterge toate celelalte date care aparțin acestui cont.
Days to Unhold,Zile de retinut
DID,FĂCUT
Access Numbers,Numere de acces
Create Duplicate Rate Group,Creați un grup de rate duplicat
Connection,Conexiune
Effective Date,Data efectivă
Effective Date Time,Data efectivă
Effective From Date,În vigoare începând cu data
Effective To Date,În vigoare până în prezent
Edit Ratedeck,Editați Ratedeck
Routing,Rutare
Initial,Iniţială
Edit Rate Group,Editați grupul de rate
Effective,Efectiv
Begin zone,Începeți zona
Nothing selected,Nimic selectat
Please check your customers calls are running or not if running then may be customer balance goes in nagative!,"Vă rugăm să verificați dacă apelurile clienților dvs. rulează sau nu, dacă se execută, atunci s-ar putea ca soldul clienților să fie negativ!"
Stop,Stop
Reload,Reîncarcă
Rescan,Rescanează
Template(regexp),Șablon (regexp)
Destination Based CallerId,Destinație bazată pe apelant
Provider Summary,Rezumatul furnizorului
Notification History,Istoricul notificărilor
Are you sure you want to delete?,Ești sigur că vrei să ștergi?
Address1,Adresa 1
 (250 * 60),  (250 * 60)
" (Allowed Extensions JPG, PNG, JPEG)","  (Extensii permise JPG, PNG, JPEG)"
 (16 * 16),  (16 * 16)
" (Allowed Extensions ICO, PNG, JPG, JPEG)","  (Extensii permise ICO, PNG, JPG, JPEG)"
SMTP Email Test,Test de e-mail SMTP
Email Body,Corpul e-mailului
Alert Body,Corp de alertă
Are you sure want to restore this database?,Sigur doriți să restaurați această bază de date?
Forwarding,Transmiterea
DID-Local,DID-Local
DID@IP/URL,DID @ IP / URL
Direct-IP,Direct-IP
PSTN,Piston
SIP-DID,SIP-DID
Edit Access number,Editați numărul de acces
Realm,Tărâm
Reg-Transport,Reg-Transport
Gateway,Gateway
Failover,Failover
GW Name #1,Numele GW # 1
GW Name #2,Numele GW # 2
Count,Numara
Rate Type,Tipul ratei
Refill,Reumpleți
Full Price,Pret intreg
Max. Days,Max. Zile
Max. Minute,Max. Minut
Both of one Maximum,Ambele de un maxim
Both,Ambii
Are you sure you want to delete this selected records?,Sigur doriți să ștergeți aceste înregistrări selectate?
Please check your customers calls are running or not. if running then may be customer balance goes in nagative!,Verificați dacă apelurile clienților dvs. rulează sau nu. dacă rulați atunci poate fi echilibrul clienților merge în nagative!
ESTONIA,ESTONIA
CLI,CLI
STANDARD,STANDARD
CALLINGCARD,CALLINGCARD
FREE,GRATUIT
LOCAL,LOCAL
Resand Email,Retrimiteți e-mailul
Sent,Trimis
Failed,A eșuat
Resent Email,Trimiteți e-mailul
Org.,Org.
Pefix,Pefix
Term.,Termen.
GMT Offset,GMT Offset
Add Timezone,Adăugați fusul orar
Timezone List,Lista fusului orar
Edit Timezone,Editați fusul orar
Folder Path,Calea folderului
Custom Rule,Regula personalizată
Account Number Editable,Număr de cont modificabil
Packages,Pachete
Terms & Condition,Termeni si conditii
Play Audio Notifications,Redă notificări audio
Sort cost based routing,Sortați rutarea bazată pe costuri
Half Year,Jumatate de an
Open a Ticket,Deschideți un bilet
Licence,Licență
DID Reservation Days,Zile de rezervare DID
DID Reservation,Rezervare DID
Term_and_condition,Termeni și condiții
Text,Text
Url,Url
Generated,Generat
Customer_permission,Permisiunea_clientului
Resend Email,Retrimiteți e-mailul
Create Translation Languages,Creați limbi de traducere
Edit Translation Language,Editați limba de traducere
Module Name,Nume modul
English,Engleză
French,limba franceza
Chinese,chinez
German,limba germana
Greek,Greacă
Italian,Italiană
Japanese,japonez
Portuguese,Portugheză
Romanian,Română
Russian,Rusă
Spanish,Spaniolă
Both (Email & SMS),Ambele (e-mail și SMS)
Account Notification,Notificare cont
Use Same Credential For Invoice Config,Utilizați aceleași acreditări pentru configurarea facturii
Registration URL,Adresa URL de înregistrare
Admin_permission,Admin_permission
My Order,Comanda mea
please select any recharge amount,vă rugăm să selectați orice sumă de reîncărcare
Todays Calls,Apeluri de azi
Are you sure want to delete speed dial record?,Sigur doriți să ștergeți înregistrarea de apelare rapidă?
Buy DIDs,Cumpărați DID-uri
Purchased DID,DID achiziționat
DID Information,Informații DID
Sell Cost,Costul de vânzare
Admin Rate Group,Grup de rată de administrare
Copy From Rate Group,Copiați din grupul de tarifare
Search My Rates,Căutați tarifele mele
Read/Write,"Citeste, scrie"
Edit SIP Devices,Editați dispozitivele SIP
Inextrix Technologies Pvt. Ltd All Rights Reserved.,Inextrix Technologies Pvt. Ltd Toate drepturile rezervate.
iNextrix Technologies Pvt. Ltd.,iNextrix Technologies Pvt. Ltd.
Bal,Minge
Europe/Andorra,Europa / Andorra
Asia/Dubai,Asia / Dubai
Asia/Kabul,Asia / Kabul
America/Antigua,America / Antigua
America/Anguilla,America / Anguilla
Europe/Tirane,Europa / Tirane
Asia/Yerevan,Asia / Erevan
Africa/Luanda,Africa / Luanda
Antarctica/Casey,Antarctica / Casey
Antarctica/Davis,Antarctica / Davis
Antarctica/DumontDUrville,Antarctica / DumontDUrville
Antarctica/Mawson,Antarctica / Mawson
Antarctica/McMurdo,Antarctica / McMurdo
Antarctica/Palmer,Antarctica / Palmer
Antarctica/Rothera,Antarctica / Rothera
Antarctica/Syowa,Antarctica / Syowa
Antarctica/Troll,Antarctica / Troll
Antarctica/Vostok,Antarctica / Vostok
America/Argentina/Buenos_Aires,America / Argentina / Buenos_Aires
America/Argentina/Catamarca,America / Argentina / Catamarca
America/Argentina/Cordoba,America / Argentina / Cordoba
America/Argentina/Jujuy,America / Argentina / Jujuy
America/Argentina/La_Rioja,America / Argentina / La_Rioja
America/Argentina/Mendoza,America / Argentina / Mendoza
America/Argentina/Rio_Gallegos,America / Argentina / Rio_Gallegos
America/Argentina/Salta,America / Argentina / Salta
America/Argentina/San_Juan,America / Argentina / San_Juan
America/Argentina/San_Luis,America / Argentina / San_Luis
America/Argentina/Tucuman,America / Argentina / Tucuman
America/Argentina/Ushuaia,America / Argentina / Ushuaia
Pacific/Pago_Pago,Pacific / Pago_Pago
Europe/Vienna,Europa / Viena
Antarctica/Macquarie,Antarctica / Macquarie
Australia/Adelaide,Australia / Adelaide
Australia/Brisbane,Australia / Brisbane
Australia/Broken_Hill,Australia / Broken_Hill
Australia/Currie,Australia / Currie
Australia/Darwin,Australia / Darwin
Australia/Eucla,Australia / Eucla
Australia/Hobart,Australia / Hobart
Australia/Lindeman,Australia / Lindeman
Australia/Lord_Howe,Australia / Lord_Howe
Australia/Melbourne,Australia / Melbourne
Australia/Perth,Australia / Perth
Australia/Sydney,Australia / Sydney
America/Aruba,America / Aruba
Europe/Mariehamn,Europa / Mariehamn
Asia/Baku,Asia / Baku
Europe/Sarajevo,Europa / Sarajevo
America/Barbados,America / Barbados
Asia/Dhaka,Asia / Dhaka
Europe/Brussels,Europa / Bruxelles
Africa/Ouagadougou,Africa / Ouagadougou
Europe/Sofia,Europa / Sofia
Asia/Bahrain,Asia / Bahrain
Africa/Bujumbura,Africa / Bujumbura
Africa/Porto-Novo,Africa / Porto-Novo
America/St_Barthelemy,America / St_Barthelemy
Atlantic/Bermuda,Atlantic / Bermuda
Asia/Brunei,Asia / Brunei
America/La_Paz,America / La_Paz
America/Kralendijk,America / Kralendijk
America/Araguaina,America / Araguaina
America/Bahia,America / Bahia
America/Belem,America / Belem
America/Boa_Vista,America / Boa_Vista
America/Campo_Grande,America / Campo_Grande
America/Cuiaba,America / Cuiaba
America/Eirunepe,America / Eirunepe
America/Fortaleza,America / Fortaleza
America/Maceio,America / Maceio
America/Manaus,America / Manaus
America/Noronha,America / Noronha
America/Porto_Velho,America / Porto_Velho
America/Recife,America / Recife
America/Rio_Branco,America / Rio_Branco
America/Santarem,America / Santarem
America/Sao_Paulo,America / Sao_Paulo
America/Nassau,America / Nassau
Asia/Thimphu,Asia / Thimphu
Africa/Gaborone,Africa / Gaborone
Europe/Minsk,Europa / Minsk
America/Belize,America / Belize
America/Atikokan,America / Atikokan
America/Blanc-Sablon,America / Blanc-Sablon
America/Cambridge_Bay,America / Cambridge_Bay
America/Creston,America / Creston
America/Dawson,America / Dawson
America/Dawson_Creek,America / Dawson_Creek
America/Edmonton,America / Edmonton
America/Fort_Nelson,America / Fort_Nelson
America/Glace_Bay,America / Glace_Bay
America/Goose_Bay,America / Goose_Bay
America/Halifax,America / Halifax
America/Inuvik,America / Inuvik
America/Iqaluit,America / Iqaluit
America/Moncton,America / Moncton
America/Nipigon,America / Nipigon
America/Pangnirtung,America / Pangnirtung
America/Rainy_River,America / Rainy_River
America/Rankin_Inlet,America / Rankin_Inlet
America/Regina,America / Regina
America/Resolute,America / Rezolut
America/St_Johns,America / St_Johns
America/Swift_Current,America / Swift_Current
America/Thunder_Bay,America / Thunder_Bay
America/Toronto,America / Toronto
America/Vancouver,America / Vancouver
America/Whitehorse,America / Whitehorse
America/Winnipeg,America / Winnipeg
America/Yellowknife,America / Yellowknife
Indian/Cocos,Indian / Cocos
Africa/Kinshasa,Africa / Kinshasa
Africa/Lubumbashi,Africa / Lubumbashi
Africa/Bangui,Africa / Bangui
Africa/Brazzaville,Africa / Brazzaville
Europe/Zurich,Europa / Zurich
Africa/Abidjan,Africa / Abidjan
Pacific/Rarotonga,Pacific / Rarotonga
America/Punta_Arenas,America / Punta_Arenas
America/Santiago,America / Santiago
Pacific/Easter,Pacific / Paște
Africa/Douala,Africa / Douala
Asia/Shanghai,Asia / Shanghai
Asia/Urumqi,Asia / Urumqi
America/Bogota,America / Bogota
America/Costa_Rica,America / Costa_Rica
America/Havana,America / Havana
Atlantic/Cape_Verde,Atlantic / Cape_Verde
America/Curacao,America / Curacao
Indian/Christmas,Indian / Crăciun
Asia/Famagusta,Asia / Famagusta
Asia/Nicosia,Asia / Nicosia
Europe/Prague,Europa / Praga
Europe/Berlin,Europa / Berlin
Europe/Busingen,Europa / Busingen
Africa/Djibouti,Africa / Djibouti
Europe/Copenhagen,Europa / Copenhaga
America/Dominica,America / Dominica
America/Santo_Domingo,America / Santo_Domingo
Africa/Algiers,Africa / Alger
America/Guayaquil,America / Guayaquil
Pacific/Galapagos,Pacific / Galapagos
Europe/Tallinn,Europa / Tallinn
Africa/Cairo,Africa / Cairo
Africa/El_Aaiun,Africa / El_Aaiun
Africa/Asmara,Africa / Asmara
Africa/Ceuta,Africa / Ceuta
Atlantic/Canary,Atlantic / Canare
Europe/Madrid,Europa / Madrid
Africa/Addis_Ababa,Africa / Addis_Ababa
Europe/Helsinki,Europa / Helsinki
Pacific/Fiji,Pacific / Fiji
Atlantic/Stanley,Atlantic / Stanley
Pacific/Chuuk,Pacific / Chuuk
Pacific/Kosrae,Pacific / Kosrae
Pacific/Pohnpei,Pacific / Pohnpei
Atlantic/Faroe,Atlantic / Feroe
Europe/Paris,Europa / Paris
Africa/Libreville,Africa / Libreville
Europe/London,Europa / Londra
America/Grenada,America / Grenada
Asia/Tbilisi,Asia / Tbilisi
America/Cayenne,America / Cayenne
Europe/Guernsey,Europa / Guernsey
Africa/Accra,Africa / Accra
Europe/Gibraltar,Europa / Gibraltar
America/Danmarkshavn,America / Danmarkshavn
America/Nuuk,America / Nuuk
America/Scoresbysund,America / Scoresbysund
America/Thule,America / Thule
Africa/Banjul,Africa / Banjul
Africa/Conakry,Africa / Conakry
America/Guadeloupe,America / Guadelupa
Africa/Malabo,Africa / Malabo
Europe/Athens,Europa / Atena
Atlantic/South_Georgia,Atlantic / Georgia_ de Sud
America/Guatemala,America / Guatemala
Pacific/Guam,Pacific / Guam
Africa/Bissau,Africa / Bissau
America/Guyana,America / Guyana
Asia/Hong_Kong,Asia / Hong_Kong
America/Tegucigalpa,America / Tegucigalpa
Europe/Zagreb,Europa / Zagreb
America/Port-au-Prince,America / Port-au-Prince
Europe/Budapest,Europa / Budapesta
Asia/Jakarta,Asia / Jakarta
Asia/Jayapura,Asia / Jayapura
Asia/Makassar,Asia / Makassar
Asia/Pontianak,Asia / Pontianak
Europe/Dublin,Europa / Dublin
Asia/Jerusalem,Asia / Ierusalim
Europe/Isle_of_Man,Europe / Isle_of_Man
Asia/Kolkata,Asia / Calcutta
Indian/Chagos,Indian / Chagos
Asia/Baghdad,Asia / Bagdad
Asia/Tehran,Asia / Teheran
Atlantic/Reykjavik,Atlantic / Reykjavik
Europe/Rome,Europa / Roma
Europe/Jersey,Europa / Jersey
America/Jamaica,America / Jamaica
Asia/Amman,Asia / Amman
Asia/Tokyo,Asia / Tokyo
Africa/Nairobi,Africa / Nairobi
Asia/Bishkek,Asia / Bișkek
Asia/Phnom_Penh,Asia / Phnom_Penh
Pacific/Enderbury,Pacific / Enderbury
Pacific/Kiritimati,Pacific / Kiritimati
Pacific/Tarawa,Pacific / Tarawa
Indian/Comoro,Indian / Comoro
America/St_Kitts,America / St_Kitts
Asia/Pyongyang,Asia / Phenian
Asia/Seoul,Asia / Seul
Asia/Kuwait,Asia / Kuweit
America/Cayman,America / Cayman
Asia/Almaty,Asia / Almaty
Asia/Aqtau,Asia / Aqtau
Asia/Aqtobe,Asia / Aqtobe
Asia/Atyrau,Asia / Atyrau
Asia/Oral,Asia / Orală
Asia/Qostanay,Asia / Qostanay
Asia/Qyzylorda,Asia / Qyzylorda
Asia/Vientiane,Asia / Vientiane
Asia/Beirut,Asia / Beirut
America/St_Lucia,America / St_Lucia
Europe/Vaduz,Europa / Vaduz
Asia/Colombo,Asia / Colombo
Africa/Monrovia,Africa / Monrovia
Africa/Maseru,Africa / Maseru
Europe/Vilnius,Europa / Vilnius
Europe/Luxembourg,Europa / Luxemburg
Europe/Riga,Europa / Riga
Africa/Tripoli,Africa / Tripoli
Africa/Casablanca,Africa / Casablanca
Europe/Monaco,Europa / Monaco
Europe/Chisinau,Europa / Chișinău
Europe/Podgorica,Europa / Podgorica
America/Marigot,America / Marigot
Indian/Antananarivo,Indian / Antananarivo
Pacific/Kwajalein,Pacific / Kwajalein
Pacific/Majuro,Pacific / Majuro
Europe/Skopje,Europa / Skopje
Africa/Bamako,Africa / Bamako
Asia/Yangon,Asia / Yangon
Asia/Choibalsan,Asia / Choibalsan
Asia/Hovd,Asia / Hovd
Asia/Ulaanbaatar,Asia / Ulaanbaatar
Asia/Macau,Asia / Macau
Pacific/Saipan,Pacific / Saipan
America/Martinique,America / Martinica
Africa/Nouakchott,Africa / Nouakchott
America/Montserrat,America / Montserrat
Europe/Malta,Europa / Malta
Indian/Mauritius,Indian / Mauritius
Indian/Maldives,Indian / Maldive
Africa/Blantyre,Africa / Blantyre
America/Bahia_Banderas,America / Bahia_Banderas
America/Cancun,America / Cancun
America/Chihuahua,America / Chihuahua
America/Hermosillo,America / Hermosillo
America/Matamoros,America / Matamoros
America/Mazatlan,America / Mazatlan
America/Merida,America / Merida
America/Mexico_City,America / Mexico_City
America/Monterrey,America / Monterrey
America/Ojinaga,America / Ojinaga
America/Tijuana,America / Tijuana
Asia/Kuala_Lumpur,Asia / Kuala_Lumpur
Asia/Kuching,Asia / Kuching
Africa/Maputo,Africa / Maputo
Africa/Windhoek,Africa / Windhoek
Pacific/Noumea,Pacific / Noumea
Africa/Niamey,Africa / Niamey
Pacific/Norfolk,Pacific / Norfolk
