English,Spanish
Paraguayan Guarani,Guaraní paraguayo
Peruvian Nuevo Sol,Nuevo Sol Peruano
Philippine Peso,Peso filipino
Platinum Ounces,Onzas de platino
Polish Zloty,Zloty polaco
Qatar Rial,Qatar Rial
Romanian Leu,Leu rumano
Romanian New Leu,Nuevo leu rumano
Russian Rouble,Rublo ruso
Rwanda Franc,Franco de Ruanda
Samoa Tala,Samoa Tala
Sao Tome Dobra,Santo Tomé Dobra
Saudi Arabian Riyal,Riyal de Arabia Saudita
Seychelles Rupee,Rupia de Seychelles
Sierra Leone Leone,Sierra Leona Leona
Silver Ounces,Onzas de plata
Singapore Dollar,Dolar de Singapur
Slovak Koruna,Corona eslovaca
Slovenian Tolar,Tolar esloveno
Somali Shilling,Chelín somalí
South African Rand,Rand sudafricano
Sri Lanka Rupee,Rupia de Sri Lanka
St Helena Pound,Libra de Santa Helena
Sudanese Dinar,Dinar sudanés
Surinam Guilder,Florín de Surinam
Swaziland Lilageni,Swazilandia Lilageni
Swedish Krona,Corona sueca
Swiss Franc,Franco suizo
Syrian Pound,Libra siria
Taiwan Dollar,Dólar taiwanés
Tanzanian Shilling,Chelín de Tanzania
Thai Baht,Baht tailandés
Tonga Paanga,Tonga Paanga
Trinidad&Tobago Dollar,Dólar de Trinidad y Tobago
Tunisian Dinar,Dinar tunecino
U.S. Dollar (USD),Dólar estadounidense (USD)
UAE Dirham,Dirham de los Emiratos Árabes Unidos
Ugandan Shilling,Chelín ugandés
Ukraine Hryvnia,Ucrania Hryvnia
Uruguayan New Peso,Peso uruguayo nuevo
Vanuatu Vatu,Vanuatu Vatu
Venezuelan Bolivar,Bolivar venezolano
Vietnam Dong,Vietnam Dong
Yemen Riyal,Yemen Riyal
Zambian Kwacha,Kwacha de Zambia
Zimbabwe Dollar,Dólar de Zimbabwe
Guyana Dollar,Dólar de Guyana
Aruban florin,Florín de Aruba
Armenian dram,Dram armenio
Azerbaijani manat,Manat azerbaiyano
Barbadian dollar,Dólar de Barbados
Bosnian Convertible Marka,Marco convertible bosnio
Botswana pula,Pula de Botswana
Cape Verdean escudo,Escudo caboverdiano
Congolese franc,Franco congoleño
Fijian Dollar,Dólar fiyiano
CFP franc,Franco CFP
Georgian lari,Lari georgiano
Iraqi dinar,Dinar iraquí
Kyrgyzstani som,Som kirguís
Liberian dollar,Dólar liberiano
Malagasy ariary,Ariary malgache
Burmese Kyat,Kyat birmano
North Korean won,Won norcoreano
nuevo sol,nuevo sol
Serbian dinar,Dinar serbio
South Korean won,Won surcoreano
South Sudanese pound,Libra sursudanesa
Sudanese pound,Libra sudanesa
Surinamese dollar,Dólar surinamés
Tajikistani samani,Tajikistani samani
Turkish lira,Lira turca
Turkmenistan manat,Manat de Turkmenistán
Pound sterling,Libra esterlina
Uzbekistani soʻm,Uzbekistán soʻm
Saint Helena pound,Libra de santa elena
Indian Rupees,Rupias indias
CLI Pool,Grupo CLI
Download,Descargar
TRUE,CIERTO
FALSE,FALSO
--Select Type--,--Seleccione tipo--
One Time,Una vez
Recurring,Periódico
Recurring Monthly,Mensual recurrente
Outbound,Saliente
Default,Defecto
Speed Dial Number Added Successfully,Número de marcación rápida agregado correctamente
Are you sure want to confirm this invoice ? once you confirm it,¿Está seguro de que desea confirmar esta factura? una vez que lo confirmes
DIDs already purchased by someone.,DID ya comprados por alguien.
DIDs Assigned sucessfully!,¡DID asignados con éxito!
Something wrong.Please contact to administrator.,"Algo va mal, comuníquese con el administrador."
Duplicate DID found from database,DID duplicado encontrado en la base de datos
Account have not sufficient amount to purchase this DID.,La cuenta no tiene una cantidad suficiente para comprar este DID.
Account not found or assign to invalid account,Cuenta no encontrada o asignada a una cuenta no válida
Duplicate DID found from import file.,DID duplicado encontrado en el archivo de importación.
DIDs Imported Successfully!,¡Los DID se importaron correctamente!
Insuffiecient fund to purchase this DID.,Fondo insuficiente para comprar este DID.
Balance Below Notification,Saldo por debajo de la notificación
Edit SIP Device,Editar dispositivo SIP
Note : Page will display only receipts and confirmed invoices.,Nota: La página mostrará solo recibos y facturas confirmadas.
Termination Rate Updated Successfully!,¡Tasa de terminación actualizada con éxito!
Import Termination Rates Using Field Mapper,Importar tasas de terminación con Field Mapper
Edit Roles & Permissions,Editar roles y permisos
Create Roles & Permissions,Crear roles y permisos
Edit Admin,Editar administrador
Pin Updated Successfully!.,Pin actualizado correctamente.
Create Termination Rate,Crear tasa de terminación
Edit Company Profile,Editar perfil de empresa
Website,Sitio web
Generate Invoice for no usage,Generar factura sin uso
Commission Repots,Informes de comisiones
Top Up,Completar
Purchase DIDs,Comprar DID
Package,Paquete
Setup,Preparar
DID Purchased Successfully.,HIZO comprado correctamente.
release,lanzamiento
DID Batch Updated Successfully!,¡El lote se actualizó correctamente!
DID forwading set sucessfully!,¡El reenvío se configuró correctamente!
Are you sure want to release DID?,¿Estás seguro de que deseas publicar DID?
Please select atleast one record,Seleccione al menos un registro
Account Balance,Saldo de la cuenta
Next Bill Date,Próxima fecha de facturación
TOTAL AMOUNT,CANTIDAD TOTAL
Invoice,Factura
IP Address,Dirección IP
Terminate,Terminar
Seconds,Segundos
Recording,Grabación
Rates,Tarifas
Paid,Pagado
No Records,No hay registros
Please select from date,Seleccione desde la fecha
Please select to date,Seleccione hasta la fecha
Please select to date bigger than from date,Seleccione una fecha más grande que la fecha inicial
Confirm,Confirmar
Edit Country,Editar país
Skip Header,Saltar encabezado
Origination_rate_error,Origination_rate_error
Termination_rate_error,Termination_rate_error
Termination_Rates,Termination_Rates
Origination_Rates,Tasas de origen
refill_coupon,refill_coupon
Edit Reseller,Editar distribuidor
Edit Calltype,Editar tipo de llamada
updated successfully!,actualizado con éxito!
added successfully!,¡agregado exitosamente!
Invoice generation completed .,Se completó la generación de facturas.
NOTE,NOTA
No data found.,Datos no encontrados.
Added successfully!,¡Agregado exitosamente!
DID added successfully!,¡Se agregó correctamente!
DID updated successfully!,¡HIZO actualizado correctamente!
File must be in the following format(.csv):,El archivo debe tener el siguiente formato (.csv):
Process,Proceso
DID Import Error,Error de importación DID
Records Imported Successfully,Registros importados correctamente
Records Not Imported,Registros no importados
Back to DID List,Volver a la lista DID
DID Batch Updated Successfully!,¡El lote se actualizó correctamente!
Accessnumber Added Successfully!,¡Número de acceso añadido correctamente!
Process,Proceso
Accessnumber Import Error,Error de importación de número de acceso
DIDs Assigned sucessfully!,¡DID asignados con éxito!
Origination Rates Preview,Vista previa de tarifas de originación
Origination Rates Import Error,Error de importación de tarifas de originación
Back to Origination Rates List,Volver a la lista de tarifas de originación
Origination Rates Batch Updated Successfully!,¡Lote de tarifas de originación actualizado con éxito!
Import Ratedeck Preview,Importar vista previa de Ratedeck
CALLTYPE,TIPO DE LLAMADA
Edit Calltype,Editar tipo de llamada
Outbound-Proxy,Proxy de salida
Edit Trunk,Editar tronco
Termination Rate Added Successfully!,¡Tasa de terminación agregada con éxito!
Edit Termination Rate,Editar tasa de terminación
Termination Rates Import Error,Error de importación de tarifas de terminación
Termination Rates Imported Successfully!,¡Tarifas de terminación importadas con éxito!
Back to Origination Rates List,Volver a la lista de tarifas de originación
Select,Seleccione
pattern,patrón
comment,comentario
connectcost,coste de conexión
includedseconds,incluidos segundos
init_inc,init_inc
inc,C ª
prepend,anteponer
cost ,costo
strip,tira
DID added successfully!,¡Se agregó correctamente!
DID updated successfully!,¡HIZO actualizado correctamente!
Country Name,Nombre del país
PAID,PAGADO
PENDING,PENDIENTE
FAIL,FALLAR
ORDER,ORDEN
payment method,método de pago
Terminate Order,Terminar orden
Compose Email,Escribir correo
Message,Mensaje
Send,Enviar
SIP Port is Required.,Se requiere puerto SIP.
Start,comienzo
SIP Port is Required.,Se requiere puerto SIP.
SIP IP is Required.,Se requiere SIP IP.
Name is Required.,Se requiere el nombre.
The SIP Port field is Required.,El campo del puerto SIP es obligatorio.
The SIP Port field must contain only numbers.,El campo Puerto SIP debe contener solo números.
The SIP Port field can not exceed 5 characters in length.,El campo del puerto SIP no puede exceder los 5 caracteres de longitud.
Value is Required.,Se requiere valor.
Value,Valor
Update Setting,Ajuste de actualización
Add Setting,Agregar configuración
Edit Freeswitch Server,Editar servidor de Freeswitch
CUT,CORTAR
ADD,AÑADIR
Edit Localization,Editar localización
Callbarring Settings Added Successfully!,¡La configuración de bloqueo de llamadas se agregó correctamente!
Edit Call Barring,Editar bloqueo de llamadas
Callbarring Settings Updated Successfully!,¡La configuración de Callbarring se actualizó correctamente!
The Name field is required.,El campo Nombre es obligatorio.
Please select file.,Seleccione el archivo.
Database import allows only gzfile types of file.,La importación de bases de datos solo permite tipos de archivo gzfile.
File must be in (.gz) format :,El archivo debe estar en formato (.gz):
The Coupon Number field must contain only numbers.,El campo Número de cupón debe contener solo números.
The Coupon Number field have inactive refill coupon.,El campo Número de cupón tiene un cupón de recarga inactivo.
This Coupon Number is already in use.,Este número de cupón ya está en uso.
This Coupon Number is not found.,No se encuentra este número de cupón.
The Coupon Number field is required.,El campo Número de cupón es obligatorio.
Select Customer.,Seleccione Cliente.
Please enter your email,Por favor introduzca su correo electrónico
Please enter proper email,Ingrese el correo electrónico adecuado
The Caller ID field is required.,El campo de identificación de llamadas es obligatorio.
Please enter your password,"Por favor, introduzca su contraseña"
Please enter your first name,"Por favor, introduzca su nombre de pila"
Please enter your email,Por favor introduzca su correo electrónico
This field is require,Este campo es obligatorio
The IP field must contain a unique value.,El campo IP debe contener un valor único.
The Name field is required.,El campo Nombre es obligatorio.
The IP field is required.,El campo IP es obligatorio.
Please Enter Valid Account Number,Ingrese un número de cuenta válido
Main,Principal
--Select Disposition--,--Seleccione Disposición--
Group By #time,Agrupar por #hora
Active User,Usuario activo
Used Minutes,Minutos usados
Available Minutes,Minutos disponibles
Total Price,Precio total
Total User,Usuario total
Resend Mail,Reenviar correo
Restore,Restaurar
View Details,Ver detalles
Other,Otro
Edit Tax,Editar impuesto
Edit Country,Editar país
Download Database,Descargar base de datos
Import Database,Importar base de datos
File must be in (.gz) format,El archivo debe estar en formato (.gz)
 Please select file., Seleccione el archivo.
Please enter name and select file.,Ingrese el nombre y seleccione el archivo.
Edit Cron Settings,Editar configuración de cron
Global Settings updated sucessfully!,¡Configuración global actualizada con éxito!
Alert Notifications,Notificaciones de alerta
Fraud Configuration,Configuración de fraude
Configuration add,Agregar configuración
Alarm Configuration,Configuración de alarma
Please select atleast one pattern.,Seleccione al menos un patrón.
Problem In Add Patterns to account.,Problema al agregar patrones a la cuenta.
Blocked Codes,Códigos bloqueados
The IP field must contain a unique value.,El campo IP debe contener un valor único.
The IP field is required.,El campo IP es obligatorio.
Please Enter Switch command,Ingrese el comando Switch
are you sure to delete?,¿Estás seguro de eliminar?
Are you sure want to confirm this invoice ? once you confirm it,¿Está seguro de que desea confirmar esta factura? una vez que lo confirmes
can not able to edit invoice again.,No se puede volver a editar la factura.
Maximum Logo upload size is 1MB,El tamaño máximo de carga del logotipo es 1 MB
Profit per day,Beneficio por dia
Please enter number,Por favor ingrese el numero
Import Customer,Importar cliente
Processing,Procesando
please wait,por favor espera
U.S. Dollar,Dólar estadounidense
Account Number,Número de cuenta
Selected records has been deleted.,Se han eliminado los registros seleccionados.
Processing,Procesando
Invoice Due Date,Fecha de vencimiento de la factura
This month credits,Créditos de este mes
Product & Services,Productos y servicios
Total Calls Amount,Monto total de llamadas
Total Amount (Inc. tax),Monto total (impuestos inc.)
Bill To,Cobrar a
Subtotal,Total parcial
Emails,Correos electrónicos
Add IP Settings,Agregar configuración de IP
Edit IP Settings,Editar configuración de IP
Edit Caller ID,Editar identificador de llamadas
Reseller Type,Tipo de revendedor
Distributor,Distribuidor
Commission Based,Basado en comisiones
Invoice Date Interval,Intervalo de fecha de factura
Please select atleast one record to delete.,Seleccione al menos un registro para eliminar.
Are you sure you want to delete? This action will delete all other data which belongs to this account(s).,¿Estas seguro que quieres borrarlo? Esta acción eliminará todos los demás datos que pertenecen a esta (s) cuenta (s).
Days to Unhold,Días para recuperar
DID,HIZO
Access Numbers,Números de acceso
Create Duplicate Rate Group,Crear grupo de tarifas duplicado
Connection,Conexión
Effective Date,Fecha efectiva
Effective Date Time,Fecha y hora de vigencia
Effective From Date,Efectivo desde la fecha
Effective To Date,Efectivo hasta la fecha
Edit Ratedeck,Editar tabla de tarifas
Routing,Enrutamiento
Initial,Inicial
Edit Rate Group,Editar grupo de tarifas
Effective,Eficaz
Begin zone,Zona de inicio
Nothing selected,Nada seleccionado
Please check your customers calls are running or not if running then may be customer balance goes in nagative!,"Compruebe que las llamadas de sus clientes se estén ejecutando o no, si se están ejecutando, ¡es posible que el saldo del cliente sea negativo!"
Stop,Detener
Reload,Recargar
Rescan,Volver a escanear
Template(regexp),Plantilla (regexp)
Destination Based CallerId,Identificador de llamada basado en destino
Provider Summary,Resumen del proveedor
Notification History,Historial de notificaciones
Are you sure you want to delete?,¿Estas seguro que quieres borrarlo?
Address1,Dirección 1
 (250 * 60),  (250 * 60)
" (Allowed Extensions JPG, PNG, JPEG)","  (Extensiones permitidas JPG, PNG, JPEG)"
 (16 * 16),  (16 * 16)
" (Allowed Extensions ICO, PNG, JPG, JPEG)","  (Extensiones permitidas ICO, PNG, JPG, JPEG)"
SMTP Email Test,Prueba de correo electrónico SMTP
Email Body,Cuerpo del correo electronico
Alert Body,Cuerpo de alerta
Are you sure want to restore this database?,¿Está seguro de que desea restaurar esta base de datos?
Forwarding,Reenvío
DID-Local,DID-Local
DID@IP/URL,DID @ IP / URL
Direct-IP,IP directa
PSTN,Pistón
SIP-DID,SIP-DID
Edit Access number,Editar número de acceso
Realm,Reino
Reg-Transport,Reg-Transporte
Gateway,Puerta
Failover,Conmutación por falla
GW Name #1,Nombre de GW # 1
GW Name #2,Nombre de GW # 2
Count,Contar
Rate Type,Tipo de cambio
Refill,Rellenar
Full Price,Precio final
Max. Days,Max. Dias
Max. Minute,Max. Minuto
Both of one Maximum,Ambos de un máximo
Both,Ambos
Are you sure you want to delete this selected records?,¿Está seguro de que desea eliminar estos registros seleccionados?
Please check your customers calls are running or not. if running then may be customer balance goes in nagative!,"Compruebe que las llamadas de sus clientes se estén ejecutando o no. si se está ejecutando, es posible que el saldo del cliente sea negativo."
ESTONIA,ESTONIA
CLI,CLI
STANDARD,ESTÁNDAR
CALLINGCARD,TARJETA DE LLAMADA
FREE,GRATIS
LOCAL,LOCAL
Resand Email,Resand Email
Sent,Expedido
Failed,Ha fallado
Resent Email,Correo electrónico reenviado
Org.,Org.
Pefix,Pefix
Term.,Término.
GMT Offset,Desplazamiento GMT
Add Timezone,Agregar zona horaria
Timezone List,Lista de zona horaria
Edit Timezone,Editar zona horaria
Folder Path,Ruta de la carpeta
Custom Rule,Regla personalizada
Account Number Editable,Número de cuenta editable
Packages,Paquetes
Terms & Condition,Términos y Condiciones
Play Audio Notifications,Reproducir notificaciones de audio
Sort cost based routing,Ordenar enrutamiento basado en costos
Half Year,Medio año
Open a Ticket,Abrir un ticket
Licence,Licencia
DID Reservation Days,Días de reserva DID
DID Reservation,Reserva DID
Term_and_condition,Término y condición
Text,Texto
Url,URL
Generated,Generado
Customer_permission,Permiso del cliente
Resend Email,Reenviar email
Create Translation Languages,Crear idiomas de traducción
Edit Translation Language,Editar idioma de traducción
Module Name,Nombre del módulo
English,Inglés
French,francés
Chinese,chino
German,alemán
Greek,griego
Italian,italiano
Japanese,japonés
Portuguese,portugués
Romanian,rumano
Russian,ruso
Spanish,Español
Both (Email & SMS),Ambos (correo electrónico y SMS)
Account Notification,Notificación de cuenta
Use Same Credential For Invoice Config,Utilice la misma credencial para la configuración de facturas
Registration URL,URL de registro
Admin_permission,Admin_permission
My Order,Mi pedido
please select any recharge amount,por favor seleccione cualquier cantidad de recarga
Todays Calls,Llamadas de hoy
Are you sure want to delete speed dial record?,¿Está seguro de que desea eliminar el registro de marcación rápida?
Buy DIDs,Comprar DID
Purchased DID,DID comprado
DID Information,Información DID
Sell Cost,Costo de venta
Admin Rate Group,Grupo de tarifa administrativa
Copy From Rate Group,Copiar desde grupo de tarifas
Search My Rates,Buscar mis tarifas
Read/Write,Leer escribir
Edit SIP Devices,Editar dispositivos SIP
Inextrix Technologies Pvt. Ltd All Rights Reserved.,Inextrix Technologies Pvt. Ltd Todos los derechos reservados.
iNextrix Technologies Pvt. Ltd.,iNextrix Technologies Pvt. Limitado.
Bal,Pelota
Europe/Andorra,Europa / Andorra
Asia/Dubai,Asia / Dubai
Asia/Kabul,Asia / Kabul
America/Antigua,América / Antigua
America/Anguilla,América / Anguila
Europe/Tirane,Europa / Tirane
Asia/Yerevan,Asia / Ereván
Africa/Luanda,África / Luanda
Antarctica/Casey,Antártida / Casey
Antarctica/Davis,Antártida / Davis
Antarctica/DumontDUrville,Antártida / DumontDUrville
Antarctica/Mawson,Antártida / Mawson
Antarctica/McMurdo,Antártida / McMurdo
Antarctica/Palmer,Antártida / Palmer
Antarctica/Rothera,Antártida / Rothera
Antarctica/Syowa,Antártida / Syowa
Antarctica/Troll,Antártida / Troll
Antarctica/Vostok,Antártida / Vostok
America/Argentina/Buenos_Aires,América / Argentina / Buenos_Aires
America/Argentina/Catamarca,América / Argentina / Catamarca
America/Argentina/Cordoba,América / Argentina / Córdoba
America/Argentina/Jujuy,América / Argentina / Jujuy
America/Argentina/La_Rioja,América / Argentina / La_Rioja
America/Argentina/Mendoza,América / Argentina / Mendoza
America/Argentina/Rio_Gallegos,América / Argentina / Rio_Gallegos
America/Argentina/Salta,América / Argentina / Salta
America/Argentina/San_Juan,América / Argentina / San_Juan
America/Argentina/San_Luis,América / Argentina / San_Luis
America/Argentina/Tucuman,América / Argentina / Tucumán
America/Argentina/Ushuaia,América / Argentina / Ushuaia
Pacific/Pago_Pago,Pacífico / Pago_Pago
Europe/Vienna,Europa / Viena
Antarctica/Macquarie,Antártida / Macquarie
Australia/Adelaide,Australia / Adelaida
Australia/Brisbane,Australia / Brisbane
Australia/Broken_Hill,Australia / Broken_Hill
Australia/Currie,Australia / Currie
Australia/Darwin,Australia / Darwin
Australia/Eucla,Australia / Eucla
Australia/Hobart,Australia / Hobart
Australia/Lindeman,Australia / Lindeman
Australia/Lord_Howe,Australia / Lord_Howe
Australia/Melbourne,Australia / Melbourne
Australia/Perth,Australia / Perth
Australia/Sydney,Australia / Sydney
America/Aruba,América / Aruba
Europe/Mariehamn,Europa / Mariehamn
Asia/Baku,Asia / Bakú
Europe/Sarajevo,Europa / Sarajevo
America/Barbados,América / Barbados
Asia/Dhaka,Asia / Dhaka
Europe/Brussels,Europa / Bruselas
Africa/Ouagadougou,África / Uagadugú
Europe/Sofia,Europa / Sofia
Asia/Bahrain,Asia / Bahréin
Africa/Bujumbura,África / Bujumbura
Africa/Porto-Novo,África / Porto-Novo
America/St_Barthelemy,América / St_Barthelemy
Atlantic/Bermuda,Atlántico / Bermudas
Asia/Brunei,Asia / Brunei
America/La_Paz,America / La_Paz
America/Kralendijk,América / Kralendijk
America/Araguaina,América / Araguaina
America/Bahia,América / Bahía
America/Belem,América / Belem
America/Boa_Vista,America / Boa_Vista
America/Campo_Grande,América / Campo_Grande
America/Cuiaba,América / Cuiaba
America/Eirunepe,América / Eirunepe
America/Fortaleza,América / Fortaleza
America/Maceio,América / Maceio
America/Manaus,América / Manaus
America/Noronha,América / Noronha
America/Porto_Velho,América / Porto_Velho
America/Recife,América / Recife
America/Rio_Branco,America / Rio_Branco
America/Santarem,América / Santarem
America/Sao_Paulo,América / Sao_Paulo
America/Nassau,América / Nassau
Asia/Thimphu,Asia / Thimphu
Africa/Gaborone,África / Gaborone
Europe/Minsk,Europa / Minsk
America/Belize,América / Belice
America/Atikokan,América / Atikokan
America/Blanc-Sablon,América / Blanc-Sablon
America/Cambridge_Bay,América / Cambridge_Bay
America/Creston,América / Creston
America/Dawson,América / Dawson
America/Dawson_Creek,América / Dawson_Creek
America/Edmonton,América / Edmonton
America/Fort_Nelson,América / Fort_Nelson
America/Glace_Bay,América / Glace_Bay
America/Goose_Bay,América / Goose_Bay
America/Halifax,América / Halifax
America/Inuvik,América / Inuvik
America/Iqaluit,América / Iqaluit
America/Moncton,América / Moncton
America/Nipigon,América / Nipigon
America/Pangnirtung,América / Pangnirtung
America/Rainy_River,América / Rainy_River
America/Rankin_Inlet,América / Rankin_Inlet
America/Regina,América / Regina
America/Resolute,America / Resolute
America/St_Johns,América / St_Johns
America/Swift_Current,América / Swift_Current
America/Thunder_Bay,América / Thunder_Bay
America/Toronto,América / Toronto
America/Vancouver,América / Vancouver
America/Whitehorse,América / Whitehorse
America/Winnipeg,América / Winnipeg
America/Yellowknife,América / Yellowknife
Indian/Cocos,Indio / Cocos
Africa/Kinshasa,África / Kinshasa
Africa/Lubumbashi,África / Lubumbashi
Africa/Bangui,África / Bangui
Africa/Brazzaville,África / Brazzaville
Europe/Zurich,Europa / Zurich
Africa/Abidjan,África / Abidjan
Pacific/Rarotonga,Pacífico / Rarotonga
America/Punta_Arenas,America / Punta_Arenas
America/Santiago,América / Santiago
Pacific/Easter,Pacífico / Pascua
Africa/Douala,África / Douala
Asia/Shanghai,Asia / Shanghai
Asia/Urumqi,Asia / Urumqi
America/Bogota,América / Bogotá
America/Costa_Rica,America / Costa_Rica
America/Havana,América / La Habana
Atlantic/Cape_Verde,Atlántico / Cape_Verde
America/Curacao,América / Curazao
Indian/Christmas,India / Navidad
Asia/Famagusta,Asia / Famagusta
Asia/Nicosia,Asia / Nicosia
Europe/Prague,Europa / Praga
Europe/Berlin,Europa / Berlín
Europe/Busingen,Europa / Busingen
Africa/Djibouti,África / Djibouti
Europe/Copenhagen,Europa / Copenhague
America/Dominica,América / Dominica
America/Santo_Domingo,América / Santo_Domingo
Africa/Algiers,África / Argel
America/Guayaquil,América / Guayaquil
Pacific/Galapagos,Pacífico / Galápagos
Europe/Tallinn,Europa / Tallin
Africa/Cairo,África / El Cairo
Africa/El_Aaiun,África / El_Aaiun
Africa/Asmara,África / Asmara
Africa/Ceuta,África / Ceuta
Atlantic/Canary,Atlántico / Canarias
Europe/Madrid,Europa / Madrid
Africa/Addis_Ababa,África / Addis_Ababa
Europe/Helsinki,Europa / Helsinki
Pacific/Fiji,Pacífico / Fiji
Atlantic/Stanley,Atlántico / Stanley
Pacific/Chuuk,Pacífico / Chuuk
Pacific/Kosrae,Pacífico / Kosrae
Pacific/Pohnpei,Pacífico / Pohnpei
Atlantic/Faroe,Atlántico / Feroe
Europe/Paris,Europa / París
Africa/Libreville,África / Libreville
Europe/London,Europa / Londres
America/Grenada,América / Granada
Asia/Tbilisi,Asia / Tbilisi
America/Cayenne,América / Cayenne
Europe/Guernsey,Europa / Guernsey
Africa/Accra,África / Accra
Europe/Gibraltar,Europa / Gibraltar
America/Danmarkshavn,América / Danmarkshavn
America/Nuuk,América / Nuuk
America/Scoresbysund,América / Scoresbysund
America/Thule,América / Thule
Africa/Banjul,África / Banjul
Africa/Conakry,África / Conakry
America/Guadeloupe,América / Guadalupe
Africa/Malabo,África / Malabo
Europe/Athens,Europa / Atenas
Atlantic/South_Georgia,Atlántico / Sur_Georgia
America/Guatemala,América / Guatemala
Pacific/Guam,Pacífico / Guam
Africa/Bissau,África / Bissau
America/Guyana,América / Guyana
Asia/Hong_Kong,Asia / Hong_Kong
America/Tegucigalpa,América / Tegucigalpa
Europe/Zagreb,Europa / Zagreb
America/Port-au-Prince,América / Port-au-Prince
Europe/Budapest,Europa / Budapest
Asia/Jakarta,Asia / Yakarta
Asia/Jayapura,Asia / Jayapura
Asia/Makassar,Asia / Makassar
Asia/Pontianak,Asia / Pontianak
Europe/Dublin,Europa / Dublín
Asia/Jerusalem,Asia / Jerusalén
Europe/Isle_of_Man,Europa / Isle_of_Man
Asia/Kolkata,Asia / Calcuta
Indian/Chagos,Indio / Chagos
Asia/Baghdad,Asia / Bagdad
Asia/Tehran,Asia / Teherán
Atlantic/Reykjavik,Atlántico / Reykjavik
Europe/Rome,Europa / Roma
Europe/Jersey,Europa / Jersey
America/Jamaica,América / Jamaica
Asia/Amman,Asia / Amman
Asia/Tokyo,Asia / Tokio
Africa/Nairobi,África / Nairobi
Asia/Bishkek,Asia / Bishkek
Asia/Phnom_Penh,Asia / Phnom_Penh
Pacific/Enderbury,Pacífico / Enderbury
Pacific/Kiritimati,Pacífico / Kiritimati
Pacific/Tarawa,Pacífico / Tarawa
Indian/Comoro,Indio / Comoro
America/St_Kitts,América / St_Kitts
Asia/Pyongyang,Asia / Pyongyang
Asia/Seoul,Asia / Seúl
Asia/Kuwait,Asia / Kuwait
America/Cayman,América / Caimán
Asia/Almaty,Asia / Almaty
Asia/Aqtau,Asia / Aqtau
Asia/Aqtobe,Asia / Aqtobe
Asia/Atyrau,Asia / Atyrau
Asia/Oral,Asia / Oral
Asia/Qostanay,Asia / Qostanay
Asia/Qyzylorda,Asia / Qyzylorda
Asia/Vientiane,Asia / Vientiane
Asia/Beirut,Asia / Beirut
America/St_Lucia,América / St_Lucia
Europe/Vaduz,Europa / Vaduz
Asia/Colombo,Asia / Colombo
Africa/Monrovia,África / Monrovia
Africa/Maseru,África / Maseru
Europe/Vilnius,Europa / Vilnius
Europe/Luxembourg,Europa / Luxemburgo
Europe/Riga,Europa / Riga
Africa/Tripoli,África / Trípoli
Africa/Casablanca,África / Casablanca
Europe/Monaco,Europa / Mónaco
Europe/Chisinau,Europa / Chisinau
Europe/Podgorica,Europa / Podgorica
America/Marigot,América / Marigot
Indian/Antananarivo,Indio / Antananarivo
Pacific/Kwajalein,Pacífico / Kwajalein
Pacific/Majuro,Pacífico / Majuro
Europe/Skopje,Europa / Skopje
Africa/Bamako,África / Bamako
Asia/Yangon,Asia / Yangon
Asia/Choibalsan,Asia / Choibalsan
Asia/Hovd,Asia / Hovd
Asia/Ulaanbaatar,Asia / Ulaanbaatar
Asia/Macau,Asia / Macao
Pacific/Saipan,Pacífico / Saipan
America/Martinique,América / Martinica
Africa/Nouakchott,África / Nouakchott
America/Montserrat,América / Montserrat
Europe/Malta,Europa / Malta
Indian/Mauritius,India / Mauricio
Indian/Maldives,India / Maldivas
Africa/Blantyre,África / Blantyre
America/Bahia_Banderas,America / Bahia_Banderas
America/Cancun,América / Cancún
America/Chihuahua,América / Chihuahua
America/Hermosillo,América / Hermosillo
America/Matamoros,América / Matamoros
America/Mazatlan,América / Mazatlán
America/Merida,América / Mérida
America/Mexico_City,America / Mexico_City
America/Monterrey,América / Monterrey
America/Ojinaga,América / Ojinaga
America/Tijuana,América / Tijuana
Asia/Kuala_Lumpur,Asia / Kuala_Lumpur
Asia/Kuching,Asia / Kuching
Africa/Maputo,África / Maputo
Africa/Windhoek,África / Windhoek
Pacific/Noumea,Pacífico / Noumea
Africa/Niamey,África / Niamey
Pacific/Norfolk,Pacífico / Norfolk
Africa/Lagos,África / Lagos
America/Managua,América / Managua
Europe/Amsterdam,Europa / Amsterdam
Europe/Oslo,Europa / Oslo
Asia/Kathmandu,Asia / Katmandú
Pacific/Nauru,Pacífico / Nauru
Pacific/Niue,Pacífico / Niue
Pacific/Auckland,Pacífico / Auckland
Pacific/Chatham,Pacífico / Chatham
Asia/Muscat,Asia / Mascate
America/Panama,América / Panamá
America/Lima,América / Lima
Pacific/Gambier,Pacífico / Gambier
Pacific/Marquesas,Pacífico / Marquesas
Pacific/Tahiti,Pacífico / Tahití
Pacific/Bougainville,Pacífico / Bougainville
Pacific/Port_Moresby,Pacífico / Port_Moresby
Asia/Manila,Asia / Manila
Asia/Karachi,Asia / Karachi
Europe/Warsaw,Europa / Varsovia
America/Miquelon,América / Miquelon
Pacific/Pitcairn,Pacífico / Pitcairn
America/Puerto_Rico,America / Puerto_Rico
Asia/Gaza,Asia / Gaza
Asia/Hebron,Asia / Hebrón
Atlantic/Azores,Atlántico / Azores
